BUURTCODE,buurtname,men,women,a_young,a_old,c_western,c_morocco,c_antilles,c_suriname,c_turkey,c_nonwestern,a_middle
1,Oud Scheveningen,1455,1460,235,540,420,15,25,45,20,145,1755
2,Vissershaven,1880,1990,320,815,685,35,35,85,25,230,2100
3,Scheveningen Badplaats,2740,2755,550,930,1205,20,50,85,25,480,3235
4,Visserijbuurt,1835,2050,395,860,855,55,40,75,15,315,2045
5,Van Stolkpark en Scheveningse Bosjes,355,410,80,245,250,5,10,5,5,60,335
6,Waldeck-Zuid,920,1160,160,690,295,50,45,80,60,225,965
7,Statenkwartier,4680,5025,1155,1705,3420,30,90,150,40,775,5110
8,Geuzenkwartier,2005,2210,400,845,740,45,45,65,25,285,2280
9,Vogelwijk,2590,2745,640,1085,1180,0,25,55,15,190,2465
10,Rond de Energiecentrale,3160,3090,730,660,1330,315,215,880,320,685,4040
11,Kortenbos,3685,3610,995,930,1590,465,205,400,275,1040,4580
12,Voorhout,1280,1145,300,365,815,30,35,45,35,295,1620
13,Uilebomen,1655,1560,280,395,660,230,120,265,75,690,2135
14,Zuidwal,3530,3375,945,770,1470,325,310,505,185,1245,4560
15,Schildersbuurt-West,7185,7030,2300,1340,1505,2655,330,2430,4065,2145,7775
16,Schildersbuurt-Noord,4920,5060,1535,1145,610,2360,265,1455,2620,1515,5275
17,Schildersbuurt-Oost,3555,3630,1210,760,470,1975,240,1115,1730,1180,3755
18,Huygenspark,3935,3935,2350,575,1490,705,890,685,500,1665,4025
19,Laakhaven-Oost,1960,2125,970,355,660,515,275,595,295,1000,2165
20,Moerwijk-Oost,1745,1495,355,370,445,400,180,395,430,615,1870
21,Groente- en Fruitmarkt,2730,2555,875,370,790,420,75,815,2015,570,2940
22,Laakhaven-West,3010,2950,1040,480,685,855,355,855,1010,1080,3445
23,Spoorwijk,2140,2210,625,335,515,550,175,1005,615,555,2465
24,Laakkwartier-West,4320,3815,1145,625,2455,330,295,1225,405,1105,4965
25,Laakkwartier-Oost,5930,5400,1650,955,3815,310,405,1325,405,1730,6830
26,Noordpolderbuurt,4355,4030,1450,705,1830,1330,520,1225,735,1420,4770
30,Rustenburg,3185,2905,665,650,1540,200,115,590,345,470,3750
31,Oostbroek-Noord,2350,2175,570,330,1225,135,110,615,540,510,2845
32,Transvaalkwartier-Noord,1925,2010,600,410,500,615,120,745,960,645,2215
33,Transvaalkwartier-Midden,2530,2480,645,595,785,780,75,1040,1490,475,2655
34,Transvaalkwartier-Zuid,3750,3470,1170,525,1705,815,100,1360,1925,835,4035
35,Oostbroek-Zuid,4135,3940,1140,520,2640,200,175,900,1350,790,4875
36,Zuiderpark,65,85,5,90,10,0,0,5,5,10,55
37,Moerwijk-West,3175,3070,635,795,680,900,360,590,740,1460,3445
38,Moerwijk-Noord,3630,3400,925,710,1430,590,305,745,1020,1205,4025
39,Moerwijk-Zuid,2510,2255,605,415,425,760,270,615,555,930,2660
40,Nieuw Waldeck,3475,3810,715,1520,985,315,180,480,270,545,3805
41,Zorgvliet,265,265,40,190,175,0,5,5,0,50,235
42,Stadhoudersplantsoen,960,1065,165,420,735,5,20,35,10,180,1130
45,Zeeheldenkwartier,6055,6030,1495,1325,2855,430,320,630,280,1410,7760
46,Archipelbuurt,2925,3235,610,1355,1835,35,65,95,25,545,3360
47,Willemspark,810,775,125,290,600,10,5,10,15,175,990
48,Nassaubuurt,775,830,145,335,495,5,5,15,5,150,830
49,Haagse Bos,215,225,20,180,140,0,0,5,0,60,220
50,Bloemenbuurt-West,1070,1235,210,595,395,0,10,35,10,75,1145
51,Bloemenbuurt-Oost,2965,3530,575,1280,1370,25,65,190,50,360,3590
52,Bomenbuurt,2765,3175,495,1175,1400,40,60,175,40,360,3320
53,Vruchtenbuurt,3425,3790,715,1190,1190,15,65,160,55,340,3945
54,Heesterbuurt,3250,3570,695,720,1460,140,155,520,120,635,4300
55,Valkenboskwartier,5675,5745,1410,1145,2680,310,220,1510,340,1085,7235
60,Binckhorst,1700,570,345,45,240,305,215,240,135,475,1795
61,Landen,2485,2720,450,1040,920,305,180,350,135,1020,2870
62,Rivierenbuurt-Zuid,455,395,190,50,230,20,75,75,10,190,555
63,Rivierenbuurt-Noord,1940,1710,500,355,790,205,215,295,115,685,2255
64,Bezuidenhout-West,1685,1925,855,315,860,220,135,325,100,905,1910
65,Bezuidenhout-Midden,2270,2225,505,545,1300,15,50,95,45,760,2690
66,Bezuidenhout-Oost,4355,4690,715,1205,2240,40,95,220,80,990,5985
67,Kampen,1215,1235,175,500,515,95,105,130,55,450,1420
68,Marlot,400,395,100,180,210,0,5,0,0,95,355
69,Burgen en Horsten,2940,3370,445,1595,1265,185,160,350,140,1120,3405
70,Oostduinen,0,0,0,0,0,0,0,0,0,0,0
71,Belgisch Park,4035,4210,1210,1680,1990,60,80,160,50,720,4130
72,Rijslag,760,845,180,395,315,5,20,30,15,110,805
73,Westbroekpark,420,505,85,440,250,0,5,10,0,65,310
74,Duttendel,490,585,95,380,285,0,10,5,0,70,455
75,Uilennest,980,1125,130,585,600,15,10,25,25,225,1100
76,Duinzigt,1060,1460,155,1315,695,5,15,20,5,185,820
77,Waalsdorp,1905,2000,385,765,1015,0,30,30,10,320,1865
78,Arendsdorp,660,705,115,350,425,0,10,5,5,145,615
80,Morgenstond-Zuid,3155,3050,645,645,1160,665,225,685,910,1010,3705
81,Bosjes van Pex,175,190,50,80,60,0,5,5,0,25,205
82,Rosenburg,1385,1530,175,1090,440,40,50,125,20,180,1365
83,Eykenduinen,1235,1380,240,445,455,10,20,55,15,110,1540
84,Leyenburg,7325,7685,1620,2710,2630,255,285,960,525,1000,8515
85,Kerketuinen en Zichtenburg,50,5,0,0,5,5,0,5,0,10,55
86,Houtwijk,6340,6550,1425,2650,1600,540,190,870,520,860,6715
87,"Venen, Oorden en Raden",4350,4380,1085,1130,1105,1275,290,910,1730,1285,4670
88,Morgenstond-West,3705,3800,810,1090,800,685,165,1220,1425,745,4110
89,Morgenstond-Oost,2900,2730,560,780,715,475,270,600,635,990,3315
90,Ockenburgh,415,365,140,130,140,10,10,30,5,70,420
91,Kijkduin,750,815,135,640,280,5,5,15,10,65,640
92,Bohemen en Meer en Bos,1930,2490,265,1755,865,10,25,75,15,185,2010
93,Componistenbuurt,825,1000,130,630,375,0,15,25,5,85,855
94,Waldeck-Noord,1315,1830,125,1710,515,10,20,65,5,205,1145
95,Kom Loosduinen,2310,2715,395,1565,625,75,60,190,60,280,2470
96,"Zijden, Steden en Zichten",3975,3980,870,1025,1055,1050,245,695,1770,1060,4405
97,Kraayenstein en Vroondaal,3200,3050,550,1095,960,60,70,265,105,400,3510
98,Dreven en Gaarden,5250,5565,1260,1790,1385,1530,480,1305,1810,1400,5510
99,De Uithof,725,800,120,590,205,20,5,40,30,70,605
100,Duindorp,2925,2945,550,880,645,35,40,60,25,230,3355
101,Erasmus Veld,1020,1140,260,500,280,115,35,225,150,155,1095
102,Hoge Veld,4360,4530,1035,735,845,655,125,1110,915,655,4700
104,Lage Veld,2080,2190,565,580,395,370,100,485,325,375,2370
105,Zonne Veld,1720,1680,550,195,295,165,65,460,315,345,1980
106,Vlietzoom-West,90,75,10,40,10,0,0,0,0,5,85
107,Vliegeniersbuurt,0,0,0,0,0,0,0,0,0,0,0
108,Bosweide,1025,1000,360,190,420,0,10,70,10,185,1055
110,De Reef,95,0,50,0,0,0,0,0,0,95,45
111,De Venen,930,860,170,90,205,90,50,280,125,215,1080
112,Morgenweide,3555,3585,965,560,900,280,160,750,375,880,4035
113,Singels,2770,2820,840,535,700,115,95,720,200,630,3135
114,Waterbuurt,2385,2420,655,360,590,190,120,570,255,510,2750
115,De Bras,2870,2980,865,285,690,135,60,375,175,320,3165
117,De Rivieren,20,20,10,0,0,0,0,5,0,0,25
118,De Lanen,2745,2695,665,260,545,190,145,660,235,665,3020
119,De Velden,2135,2060,600,450,430,135,45,455,140,485,2355
120,De Vissen,4275,4345,1225,1105,885,340,105,960,185,790,4640
121,Rietbuurt,1410,1385,255,115,285,190,65,325,105,300,1525
