"Â ","2018* (x 1 000)","2017 (x 1 000)"
"0","22,9","25,8"
"1","25,1","29,4"
"2","24","27,2"
"3","22,2","25,1"
"4","20,3","22,9"
"5","19,4","21,8"
"6","18,7","20,9"
"7","18,1","19,9"
"8","17,5","18,8"
"9","16,6","17,4"
"10","15,5","16,3"
"11","14,5","15,5"
"12","14,4","15,6"
"13","14","15,2"
"14","14,2","15,3"
"15","14,3","15,3"
"16","15","16,2"
"17","18,6","20,3"
"18","33,8","36"
"19","40,2","41,6"
"20","44,6","48,1"
"21","49,8","53,6"
"22","55,1","59,2"
"23","62,6","66,4"
"24","65,1","67,3"
"25","63,8","67,3"
"26","61,4","63,8"
"27","58,4","59,1"
"28","52","53"
"29","47","49,2"
"30","43,5","46"
"31","40,1","42,5"
"32","37,3","39,2"
"33","33,9","36,1"
"34","31,6","33,3"
"35","28,9","31,2"
"36","27,8","29,8"
"37","26,5","27,7"
"38","24,6","25,6"
"39","22,8","23,8"
"40","21,3","22"
"41","20,1","21,1"
"42","19","20,6"
"43","18","19,4"
"44","17,6","19,7"
"45","17,8","19,6"
"46","17,8","19,6"
"47","17,9","18,9"
"48","17,5","17,7"
"49","16,5","16,2"
"50","15,2","15,8"
"51","14,7","15,6"
"52","14,4","15"
"53","14,1","14,5"
"54","13,4","13,8"
"55","13,3","13,4"
"56","12,3","12,3"
"57","11,3","11,5"
"58","10,6","10,8"
"59","10,1","10,3"
"60","9,6","9,7"
"61","9,3","9,4"
"62","8,7","8,7"
"63","8,4","8,4"
"64","8,2","8,5"
"65","8,7","8,7"
"66","8,4","8"
"67","7,7","7,7"
"68","7,5","7,8"
"69","7,4","7,9"
"70","7,7","8,1"
"71","7,9","6,5"
"72","6,4","5,6"
"73","5,6","5,5"
"74","5,6","5"
"75","5","4,8"
"76","4,9","5,1"
"77","4,9","4,9"
"78","4,9","4,7"
"79","4,8","4,6"
"80","4,7","4,7"
"81","4,6","4,7"
"82","4,6","4,6"
"83","4,5","4,6"
"84","4,6","4,6"
"85","4,5","4,7"
"86","4,6","4,6"
"87","4,4","4,2"
"88","4,1","4"
"89","3,8","3,6"
"90","3,3","3,1"
"91","2,8","2,8"
"92","2,4","2,3"
"93","2","1,9"
"94","1,6","1,5"
"95","1,2","1,2"
"96","0,8","0,8"
"97","0,6","0,6"
"98","0,4","0,3"
"99","0,2","0,2"
"100","0,2","0,3"
"*Voorlopige cijfers"