"Buurten";"Aantal scholen voor VO totaal binnen 3 km|2006";"Aantal scholen voor VO totaal binnen 3 km|2007";"Aantal scholen voor VO totaal binnen 3 km|2008";"Aantal scholen voor VO totaal binnen 3 km|2009";"Aantal scholen voor VO totaal binnen 3 km|2010";"Aantal scholen voor VO totaal binnen 3 km|2011";"Aantal scholen voor VO totaal binnen 3 km|2012";"Aantal scholen voor VO totaal binnen 3 km|2013";"Aantal VMBO-scholen binnen 3 km|2006";"Aantal VMBO-scholen binnen 3 km|2007";"Aantal VMBO-scholen binnen 3 km|2008";"Aantal VMBO-scholen binnen 3 km|2009";"Aantal VMBO-scholen binnen 3 km|2010";"Aantal VMBO-scholen binnen 3 km|2011";"Aantal VMBO-scholen binnen 3 km|2012";"Aantal VMBO-scholen binnen 3 km|2013";"Aantal HAVO/VWO-scholen binnen 3 km|2006";"Aantal HAVO/VWO-scholen binnen 3 km|2007";"Aantal HAVO/VWO-scholen binnen 3 km|2008";"Aantal HAVO/VWO-scholen binnen 3 km|2009";"Aantal HAVO/VWO-scholen binnen 3 km|2010";"Aantal HAVO/VWO-scholen binnen 3 km|2011";"Aantal HAVO/VWO-scholen binnen 3 km|2012";"Aantal HAVO/VWO-scholen binnen 3 km|2013";"Aantal scholen binnen 3 km|2006";"Aantal scholen binnen 3 km|2007";"Aantal scholen binnen 3 km|2008";"Aantal scholen binnen 3 km|2009";"Aantal scholen binnen 3 km|2010";"Aantal scholen binnen 3 km|2011";"Aantal scholen binnen 3 km|2012";"Aantal scholen binnen 3 km|2013"
"01 Oud Scheveningen";6;6;6;6;6;6;6;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;16;16;15;15;15;16;16;"-"
"02 Vissershaven";8;8;8;7;7;8;8;8;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;22;22;21;21;20;21;21;"-"
"03 Scheveningen Badplaats";6;6;6;6;5;5;5;5;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;3;14;14;13;13;13;12;13;"-"
"04 Visserijbuurt";8;8;8;8;8;8;8;8;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;18;18;17;17;17;17;17;"-"
"05 v Stolkpark/Schev Bosjes";10;10;10;10;10;10;10;10;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;22;21;20;20;20;19;19;"-"
"06 Waldeck-Zuid";6;7;7;7;7;8;8;8;6;5;5;5;5;5;5;5;2;2;2;2;2;3;3;4;20;20;20;19;19;19;18;"-"
"07 Statenkwartier";10;10;10;10;10;10;10;10;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;32;32;31;31;31;32;32;"-"
"08 Geuzenkwartier";9;9;9;9;8;9;9;9;6;6;6;6;5;6;6;6;6;6;6;6;5;6;6;6;29;28;27;27;27;27;27;"-"
"09 Vogelwijk";8;9;9;9;10;10;10;10;7;6;6;6;7;7;7;7;5;5;5;5;5;5;5;6;32;32;32;31;31;30;31;"-"
"10 Rond de Energiecentrale";13;13;13;14;14;14;12;12;9;9;9;10;10;10;9;8;7;7;7;7;6;6;6;6;61;61;62;62;62;60;60;"-"
"11 Kortenbos";12;12;12;13;12;13;12;13;7;7;7;8;8;8;8;8;8;8;8;8;8;8;9;9;56;56;56;56;56;56;55;"-"
"12 Voorhout";12;12;12;13;12;12;12;12;7;7;7;8;7;7;7;7;9;9;9;9;9;9;10;10;46;46;46;46;45;46;46;"-"
"13 Uilebomen";10;10;10;11;11;11;11;12;6;6;6;7;7;7;7;7;8;8;8;8;8;8;9;9;48;46;46;46;46;47;48;"-"
"14 Zuidwal";10;10;9;10;10;11;10;11;5;5;5;6;6;6;6;5;7;7;7;7;7;7;8;7;56;54;54;54;54;55;55;"-"
"15 Schildersbuurt-West";8;8;7;8;9;10;9;9;5;5;5;6;6;6;5;5;4;4;4;4;4;4;4;4;59;58;59;59;59;57;57;"-"
"16 Schildersbuurt-Noord";7;7;6;7;7;8;8;8;4;4;4;5;5;5;4;4;4;4;4;4;4;4;5;5;56;54;54;54;55;54;54;"-"
"17 Schildersbuurt-Oost";6;6;5;6;6;7;7;7;3;3;3;4;4;4;4;4;3;3;3;3;3;3;4;3;57;55;55;55;55;55;55;"-"
"18 Huygenspark";9;9;8;9;9;10;10;10;5;5;5;6;6;6;6;6;5;5;5;5;5;5;6;6;52;49;49;50;50;51;50;"-"
"19 Laakhaven-Oost";8;8;7;8;8;9;8;8;5;5;5;6;5;5;5;5;3;3;3;3;3;3;4;3;48;46;46;46;47;49;49;"-"
"20 Moerwijk-Oost";8;8;6;6;6;5;6;5;6;5;5;5;5;4;4;4;4;4;4;3;4;3;3;3;46;46;45;44;47;46;46;"-"
"21 Groente- en Fruitmarkt";6;6;5;6;6;7;6;5;4;4;4;5;4;4;4;3;2;2;2;2;2;2;2;2;57;57;57;57;59;57;57;"-"
"22 Laakhaven-West";7;7;6;7;6;7;7;6;5;4;4;5;5;5;5;4;2;2;2;2;2;2;3;2;50;49;50;51;50;51;51;"-"
"23 Spoorwijk";9;9;8;8;"-";8;7;7;7;6;6;6;"-";6;5;5;4;4;4;3;"-";3;3;3;50;48;45;46;"-";45;45;"-"
"24 Laakkwartier-West";8;8;7;8;7;8;7;7;6;5;5;6;6;6;5;5;3;3;3;3;3;3;3;3;47;46;46;47;47;46;46;"-"
"25 Laakkwartier-Oost";8;8;7;8;7;8;7;6;6;5;5;6;6;6;5;4;3;3;3;2;2;2;2;2;44;43;43;43;43;44;45;"-"
"26 Noordpolderbuurt";7;7;6;7;6;7;6;6;5;5;5;5;5;5;4;3;2;2;2;2;2;2;2;1;36;34;34;35;35;37;37;"-"
"30 Rustenburg";10;11;11;12;13;14;13;12;8;8;8;9;9;9;9;9;5;5;5;5;5;5;6;7;65;65;65;64;64;64;64;"-"
"31 Oostbroek-Noord";11;12;12;13;14;15;14;13;8;8;8;9;10;10;9;9;6;6;6;6;6;6;6;7;62;62;63;62;62;61;61;"-"
"32 Transvaalkwartier-Noord";11;11;11;12;13;14;12;11;8;8;8;9;10;10;8;8;6;6;6;6;6;6;6;6;61;61;62;61;61;60;60;"-"
"33 Transvaalkwartier-Midden";10;10;9;10;10;11;9;9;6;6;6;7;8;8;6;6;4;4;4;4;4;4;4;4;62;62;62;62;61;60;60;"-"
"34 Transvaalkwartier-Zuid";8;8;7;8;"-";9;8;8;5;5;5;6;"-";6;5;5;3;3;3;3;"-";3;3;3;60;60;60;60;"-";59;59;"-"
"35 Oostbroek-Zuid";10;10;9;10;10;11;10;10;7;7;7;8;8;8;7;7;4;4;4;4;4;4;4;4;64;64;64;64;64;63;63;"-"
"36 Zuiderpark";"-";"-";"-";"-";8;9;10;9;"-";"-";"-";"-";6;7;7;7;"-";"-";"-";"-";3;2;3;4;"-";"-";"-";"-";55;56;56;"-"
"37 Moerwijk-West";6;6;5;5;5;6;6;6;5;5;5;5;5;4;5;4;2;2;2;2;2;2;2;2;48;48;47;47;48;48;48;"-"
"38 Moerwijk-Noord";8;8;6;7;7;7;6;6;6;5;5;6;6;5;4;4;4;4;3;3;3;2;2;2;56;56;55;55;56;56;57;"-"
"39 Moerwijk-Zuid";7;7;6;6;5;6;6;6;6;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;40;40;39;39;40;39;39;"-"
"40 Nieuw Waldeck";7;8;8;8;8;9;9;9;7;6;6;6;6;6;6;6;3;3;3;3;3;4;4;5;28;28;28;26;26;25;25;"-"
"41 Zorgvliet";14;14;14;15;14;14;14;14;10;10;10;10;10;11;10;10;10;10;10;10;10;10;10;10;46;46;45;45;42;43;42;"-"
"42 Stadhoudersplantsoen";12;12;12;12;13;13;12;12;8;8;8;9;9;10;8;8;7;7;7;8;8;8;8;8;50;50;50;50;49;50;50;"-"
"43 Sweelinckplein eo";14;14;14;15;15;15;13;13;9;9;9;10;10;10;9;9;9;9;9;9;9;9;9;9;57;56;56;56;56;57;57;"-"
"44 Koningsplein eo";13;13;13;14;14;14;12;12;9;9;9;10;10;10;9;9;7;7;7;7;7;7;7;7;62;62;62;62;62;60;60;"-"
"45 Zeeheldenkwartier";15;15;15;16;16;16;15;15;9;9;9;10;10;10;9;9;10;10;10;10;10;10;11;11;56;57;57;57;57;56;56;"-"
"46 Archipelbuurt";15;15;15;16;15;15;15;15;9;9;9;10;9;10;9;9;11;11;11;11;11;11;12;12;33;33;33;33;33;33;32;"-"
"47 Willemspark";13;13;13;14;13;13;13;12;8;8;8;9;8;8;8;7;10;10;11;10;10;10;11;11;36;37;37;36;36;37;36;"-"
"48 Nassaubuurt";12;12;12;12;12;12;11;11;7;7;7;8;7;7;6;6;9;9;9;9;9;9;10;9;25;26;26;25;25;24;23;"-"
"49 Haagse Bos";14;14;14;15;14;14;14;14;11;11;11;12;11;11;10;10;9;9;9;9;8;8;9;9;28;27;27;27;25;26;25;"-"
"50 Bloemenbuurt-West";8;9;9;9;10;11;11;11;8;7;7;7;8;8;8;8;5;5;5;5;5;5;5;6;38;37;38;37;37;36;36;"-"
"51 Bloemenbuurt-Oost";10;11;11;11;11;11;12;12;8;7;7;7;7;7;8;8;6;6;6;6;6;6;7;8;45;46;47;46;46;43;43;"-"
"52 Bomenbuurt";10;10;11;11;11;11;11;11;7;7;7;7;7;7;8;8;6;6;6;6;6;6;7;8;51;51;52;52;51;50;50;"-"
"53 Vruchtenbuurt";8;9;9;9;10;11;11;11;8;7;7;7;8;8;8;8;5;5;5;5;5;5;6;7;43;42;43;42;42;41;41;"-"
"54 Heesterbuurt";11;12;12;12;13;13;13;13;8;7;7;8;8;9;9;9;6;6;6;6;6;6;7;8;57;57;58;57;57;56;56;"-"
"55 Valkenboskwartier";12;13;13;14;14;15;14;14;10;9;9;10;10;10;10;10;6;6;6;7;7;7;7;8;60;61;62;61;61;59;59;"-"
"60 Binckhorst";"-";10;9;10;9;9;9;9;"-";7;7;8;7;6;6;6;"-";5;5;5;5;5;5;5;"-";29;29;30;30;31;31;"-"
"61 Landen";5;5;5;5;5;5;6;6;4;5;4;4;5;5;5;6;1;2;1;1;1;1;1;1;14;13;13;13;13;13;13;"-"
"62 Rivierenbuurt-Zuid";11;11;10;11;11;11;12;13;7;7;7;8;8;8;8;8;6;6;6;6;6;6;8;8;48;46;45;46;46;47;46;"-"
"63 Rivierenbuurt-Noord";11;11;10;11;11;11;12;13;7;7;7;8;8;8;8;8;7;7;7;7;7;7;8;8;47;46;45;46;46;47;47;"-"
"64 Bezuidenhout-West";13;13;13;14;15;15;14;14;10;10;10;11;11;11;10;10;8;8;8;8;8;8;8;8;30;27;28;27;28;30;31;"-"
"65 Bezuidenhout-Midden";14;14;14;15;15;15;14;14;11;11;11;12;11;11;10;10;8;8;8;8;8;8;8;8;29;28;29;29;29;30;30;"-"
"66 Bezuidenhout-Oost";11;11;11;12;12;11;12;12;9;9;9;9;9;8;9;9;6;6;6;6;6;6;7;7;22;21;22;22;22;23;23;"-"
"67 Kampen";7;7;7;7;8;7;9;9;5;5;6;6;5;6;7;7;3;3;3;3;3;3;5;5;15;14;14;14;15;14;14;"-"
"68 Marlot";3;4;3;3;4;4;4;4;3;3;3;3;3;3;3;3;1;1;1;1;1;1;0;1;8;8;8;8;8;8;8;"-"
"69 Burgen en Horsten";6;6;6;5;6;6;7;7;4;5;4;4;5;5;6;6;2;3;2;2;2;2;3;3;15;14;13;13;13;14;14;"-"
"70 Oostduinen";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"71 Belgisch Park";6;6;6;5;5;5;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;12;12;11;11;11;12;11;"-"
"72 Rijslag";7;7;7;7;6;6;6;6;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;15;15;14;14;14;13;14;"-"
"73 Westbroekpark";10;10;10;10;9;9;9;9;7;7;7;7;6;6;6;6;8;8;8;8;8;8;8;8;19;20;19;19;19;19;19;"-"
"74 Duttendel";8;8;8;8;7;7;7;7;6;6;6;6;5;5;5;5;7;7;7;7;7;7;7;7;16;16;15;15;15;16;16;"-"
"75 Uilennest";8;8;8;8;9;9;10;10;6;6;6;6;7;7;8;7;6;6;6;6;6;6;7;7;14;14;14;14;14;14;14;"-"
"76 Duinzigt";5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;11;11;11;11;11;11;11;"-"
"77 Waalsdorp";10;10;10;10;9;9;10;10;6;6;6;6;5;5;6;6;9;9;9;9;9;9;10;10;16;16;16;16;16;16;16;"-"
"78 Arendsdorp";10;10;10;10;10;10;10;10;6;6;6;6;6;6;6;6;8;8;8;8;9;8;9;9;18;18;18;18;18;18;17;"-"
"79 v Hoytemastraat eo";9;9;9;9;10;10;11;11;6;6;6;6;7;7;8;8;7;7;7;7;7;7;8;8;18;17;17;17;17;17;16;"-"
"80 Morgenstond-Zuid";5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5;2;2;2;2;2;2;2;2;32;33;33;33;33;32;31;"-"
"81 Bosjes van Pex";8;9;9;9;9;10;10;10;8;7;7;7;7;7;7;7;4;4;4;4;4;5;5;6;32;32;33;31;31;30;30;"-"
"82 Rosenburg";8;9;9;9;8;9;9;9;8;7;7;7;6;6;6;6;4;4;4;4;4;5;5;6;39;39;40;39;43;41;41;"-"
"83 Eykenduynen";8;9;9;9;9;10;10;10;8;7;7;7;7;7;8;8;4;4;4;4;4;5;5;6;48;48;48;47;48;47;47;"-"
"84 Leyenburg";8;9;9;9;9;9;10;10;8;7;7;7;7;7;7;7;4;4;4;4;4;4;4;5;60;59;60;59;59;58;58;"-"
"85 Kerketuinen/Zichtenburg";5;6;6;6;6;6;6;6;5;5;5;5;5;4;5;5;2;2;2;2;2;1;1;2;35;35;35;34;29;28;26;"-"
"86 Houtwijk";7;8;8;8;8;9;9;9;7;6;6;6;6;6;6;6;3;3;3;3;3;3;3;4;34;34;34;32;32;32;32;"-"
"87 Venen/Oorden/Raden";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;0;0;1;26;26;26;25;26;25;25;"-"
"88 Morgenstond-West";6;6;6;"-";"-";6;7;6;6;6;6;"-";"-";5;5;5;2;2;2;"-";"-";1;1;2;38;39;39;"-";"-";37;36;"-"
"89 Morgenstond-Oost";6;7;7;7;7;7;7;6;6;6;6;6;6;5;5;5;2;2;2;2;2;1;2;2;47;48;48;48;48;47;47;"-"
"90 Ockenburgh";3;4;4;4;3;4;5;5;3;3;3;3;3;3;3;3;1;1;1;1;1;2;2;2;10;10;10;9;9;9;9;"-"
"91 Kijkduin";5;6;6;6;6;7;8;8;5;4;4;4;4;4;5;5;3;3;3;3;3;4;4;5;18;18;18;17;17;17;17;"-"
"92 Bohemen/Meer en Bos";6;7;7;7;7;8;8;8;6;5;5;5;5;5;5;5;3;3;3;3;3;4;4;5;25;25;25;24;24;24;24;"-"
"93 Componistenbuurt";7;8;8;8;8;9;9;9;7;6;6;6;6;6;6;6;4;4;4;4;4;5;5;6;31;31;31;30;30;28;28;"-"
"94 Waldeck-Noord";6;7;7;7;7;8;8;8;6;5;5;5;5;5;5;5;3;3;3;3;3;4;4;5;20;20;20;19;19;19;19;"-"
"95 Kom Loosduinen";6;7;7;7;7;8;8;8;6;5;5;5;5;5;5;5;2;2;2;2;2;3;3;4;21;21;21;20;20;19;19;"-"
"96 Zijden/Steden/Zichten";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;23;24;23;23;24;23;23;"-"
"97 Kraayenstein & Vroondaal";4;4;4;4;4;5;5;5;4;3;3;3;3;3;4;4;1;1;1;1;1;1;2;2;14;14;14;13;12;12;12;"-"
"98 Dreven en Gaarden";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;22;22;22;22;23;23;23;"-"
"99 De Uithof";3;3;3;2;2;2;2;2;3;3;3;2;2;2;2;2;0;0;0;0;0;0;0;0;18;18;17;15;14;14;13;"-"
"100 Duindorp";8;8;8;8;8;8;7;7;6;6;6;6;6;6;5;5;5;4;4;4;4;4;4;4;26;26;26;26;26;26;26;"-"
"101 Erasmus Veld";4;4;3;3;3;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;22;22;21;21;23;23;23;"-"
"102 Hoge Veld";3;2;2;"-";3;3;3;3;3;2;2;"-";3;3;3;3;2;2;1;"-";2;2;2;2;22;23;22;"-";24;24;24;"-"
"103 Parkbuurt Oosteinde";3;3;3;"-";"-";"-";3;3;3;3;3;"-";"-";"-";3;3;3;3;3;"-";"-";"-";3;3;19;19;19;"-";"-";"-";21;"-"
"104 Lage Veld";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;13;13;13;13;13;14;14;"-"
"105 Zonne Veld";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;13;13;13;13;13;13;13;"-"
"106 Vlietzoom-West";7;7;7;7;7;"-";7;7;7;7;7;7;6;"-";6;6;4;4;4;4;4;"-";4;4;17;15;15;16;"-";"-";18;"-"
"107 Vliegeniersbuurt";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"108 Bosweide";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;8;9;9;9;9;"-"
"109 Tedingerbroek";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"110 De Reef";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"111 De Venen";"-";"-";"-";"-";2;2;2;2;"-";"-";"-";"-";2;2;2;2;"-";"-";"-";"-";2;2;2;1;"-";"-";"-";"-";13;12;11;"-"
"112 Morgenweide";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;12;12;11;12;12;12;13;"-"
"113 Singels";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10;11;10;10;10;10;10;"-"
"114 Waterbuurt";2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;12;12;12;12;12;12;12;"-"
"115 De Bras";2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;14;14;13;13;13;13;13;"-"
"116 Vlietzoom-Oost";6;6;7;7;7;7;6;6;6;6;7;7;6;6;5;5;3;3;4;4;4;4;4;3;15;15;15;15;15;15;14;"-"
"117 De Rivieren";2;1;2;3;3;3;3;4;2;1;2;3;3;3;3;4;2;1;2;2;2;2;2;1;12;12;11;13;13;12;12;"-"
"118 De Lanen";2;1;2;2;2;2;2;4;2;1;2;2;2;2;2;4;2;1;2;2;2;2;2;2;8;11;9;11;12;12;12;"-"
"119 De Velden";2;0;1;"-";"-";"-";2;1;2;0;1;"-";"-";"-";2;1;2;0;1;"-";"-";"-";1;0;11;11;11;"-";"-";"-";10;"-"
"120 De Vissen";1;0;1;"-";"-";"-";1;1;1;0;1;"-";"-";"-";1;1;1;0;1;"-";"-";"-";1;0;6;7;7;"-";"-";"-";7;"-"
"121 Rietbuurt";2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;10;11;11;11;11;10;10;"-"
