BUURTCODE,buurtname,avg_household_size,houses,avg_price,p_occupied,p_free,bought_houses,rented_houses,rent_corp,rent_private
1,Oud Scheveningen,1.8,1681,180.0,90.0,10.0,44.0,53.0,31.0,22.0
2,Vissershaven,1.9,2089,199.0,78.0,22.0,40.0,53.0,27.0,26.0
3,Scheveningen Badplaats,1.8,3265,240.0,80.0,20.0,56.0,42.0,9.0,32.0
4,Visserijbuurt,1.9,2113,226.0,88.0,12.0,41.0,55.0,28.0,27.0
5,Van Stolkpark en Scheveningse Bosjes,2.1,463,621.0,74.0,26.0,47.0,34.0,10.0,24.0
6,Waldeck-Zuid,1.7,1195,134.0,96.0,4.0,44.0,56.0,50.0,6.0
7,Statenkwartier,2.1,4760,441.0,82.0,18.0,60.0,38.0,3.0,35.0
8,Geuzenkwartier,2.0,2367,214.0,87.0,13.0,53.0,43.0,28.0,14.0
9,Vogelwijk,2.6,2126,563.0,92.0,8.0,87.0,11.0,2.0,9.0
10,Rond de Energiecentrale,1.8,3041,145.0,91.0,9.0,28.0,70.0,26.0,44.0
11,Kortenbos,1.6,4532,180.0,85.0,15.0,26.0,67.0,31.0,35.0
12,Voorhout,1.4,1689,346.0,68.0,32.0,26.0,71.0,9.0,61.0
13,Uilebomen,1.7,1832,217.0,89.0,11.0,23.0,77.0,43.0,34.0
14,Zuidwal,1.5,4312,148.0,89.0,11.0,14.0,85.0,45.0,40.0
15,Schildersbuurt-West,2.4,5576,114.0,93.0,7.0,23.0,75.0,57.0,18.0
16,Schildersbuurt-Noord,2.3,4219,110.0,97.0,3.0,14.0,84.0,74.0,10.0
17,Schildersbuurt-Oost,2.5,2630,117.0,98.0,2.0,15.0,85.0,79.0,7.0
18,Huygenspark,1.5,4105,116.0,95.0,5.0,9.0,90.0,72.0,18.0
19,Laakhaven-Oost,1.7,2174,132.0,95.0,5.0,17.0,83.0,73.0,10.0
20,Moerwijk-Oost,1.8,1707,94.0,89.0,11.0,7.0,86.0,75.0,10.0
21,Groente- en Fruitmarkt,2.5,1683,135.0,96.0,4.0,40.0,60.0,30.0,30.0
22,Laakhaven-West,1.9,2704,108.0,84.0,16.0,14.0,85.0,53.0,32.0
23,Spoorwijk,2.4,1610,145.0,98.0,2.0,35.0,65.0,56.0,9.0
24,Laakkwartier-West,2.1,3523,112.0,95.0,5.0,49.0,51.0,12.0,39.0
25,Laakkwartier-Oost,2.0,5123,107.0,94.0,6.0,50.0,50.0,4.0,46.0
26,Noordpolderbuurt,2.0,3892,107.0,91.0,9.0,22.0,73.0,41.0,32.0
30,Rustenburg,2.0,2947,118.0,96.0,4.0,55.0,44.0,16.0,28.0
31,Oostbroek-Noord,2.0,2044,114.0,94.0,6.0,61.0,39.0,0.0,39.0
32,Transvaalkwartier-Noord,2.1,1771,97.0,94.0,6.0,10.0,90.0,67.0,23.0
33,Transvaalkwartier-Midden,2.3,1842,129.0,95.0,5.0,27.0,72.0,44.0,29.0
34,Transvaalkwartier-Zuid,2.4,2490,126.0,96.0,4.0,44.0,55.0,28.0,27.0
35,Oostbroek-Zuid,2.1,3460,110.0,96.0,4.0,56.0,43.0,1.0,43.0
36,Zuiderpark,1.3,101,96.0,98.0,2.0,0.0,100.0,99.0,1.0
37,Moerwijk-West,1.9,3228,90.0,95.0,5.0,5.0,90.0,67.0,23.0
38,Moerwijk-Noord,2.0,3126,105.0,96.0,4.0,36.0,64.0,47.0,16.0
39,Moerwijk-Zuid,1.9,2292,100.0,91.0,9.0,14.0,86.0,84.0,2.0
40,Nieuw Waldeck,2.0,3688,157.0,92.0,8.0,28.0,64.0,59.0,5.0
41,Zorgvliet,1.9,343,553.0,69.0,31.0,51.0,46.0,5.0,41.0
42,Stadhoudersplantsoen,1.7,1154,251.0,82.0,18.0,43.0,57.0,8.0,49.0
43,Sweelinckplein en omgeving,1.9,2881,322.0,85.0,15.0,54.0,44.0,5.0,40.0
44,Koningsplein en omgeving,1.7,3969,208.0,88.0,12.0,37.0,61.0,11.0,49.0
45,Zeeheldenkwartier,1.6,6638,223.0,84.0,16.0,30.0,67.0,23.0,45.0
46,Archipelbuurt,1.8,3652,407.0,80.0,20.0,50.0,48.0,13.0,34.0
47,Willemspark,1.6,1152,330.0,73.0,27.0,33.0,63.0,3.0,60.0
48,Nassaubuurt,2.2,739,495.0,87.0,13.0,66.0,33.0,1.0,32.0
49,Haagse Bos,1.4,424,171.0,63.0,37.0,31.0,46.0,5.0,41.0
50,Bloemenbuurt-West,2.1,1118,278.0,94.0,6.0,83.0,15.0,2.0,14.0
51,Bloemenbuurt-Oost,1.9,3392,195.0,94.0,6.0,67.0,33.0,5.0,28.0
52,Bomenbuurt,1.9,3184,209.0,90.0,10.0,62.0,37.0,8.0,29.0
53,Vruchtenbuurt,2.2,3189,233.0,96.0,4.0,78.0,22.0,5.0,16.0
54,Heesterbuurt,1.8,3610,137.0,95.0,5.0,50.0,49.0,26.0,23.0
55,Valkenboskwartier,1.8,5919,155.0,90.0,10.0,46.0,52.0,3.0,49.0
60,Binckhorst,1.2,160,66.0,81.0,19.0,4.0,96.0,0.0,96.0
61,Landen,1.7,3006,118.0,87.0,13.0,33.0,63.0,53.0,10.0
62,Rivierenbuurt-Zuid,1.4,487,88.0,87.0,13.0,17.0,82.0,21.0,62.0
63,Rivierenbuurt-Noord,1.7,1971,172.0,87.0,13.0,25.0,70.0,30.0,40.0
64,Bezuidenhout-West,1.7,2114,179.0,94.0,6.0,18.0,82.0,49.0,33.0
65,Bezuidenhout-Midden,1.9,2082,267.0,89.0,11.0,59.0,40.0,3.0,37.0
66,Bezuidenhout-Oost,1.7,5186,185.0,92.0,8.0,57.0,42.0,7.0,35.0
67,Kampen,1.6,1516,117.0,92.0,8.0,31.0,69.0,47.0,22.0
68,Marlot,2.5,358,675.0,80.0,20.0,80.0,16.0,0.0,16.0
69,Burgen en Horsten,1.7,3704,128.0,94.0,6.0,39.0,59.0,36.0,22.0
70,Oostduinen,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Belgisch Park,1.9,4105,312.0,85.0,15.0,59.0,39.0,12.0,27.0
72,Rijslag,1.8,910,298.0,88.0,12.0,49.0,49.0,12.0,38.0
73,Westbroekpark,1.9,507,581.0,79.0,21.0,63.0,35.0,11.0,24.0
74,Duttendel,2.1,616,615.0,75.0,25.0,59.0,23.0,0.0,23.0
75,Uilennest,1.8,1245,270.0,87.0,13.0,75.0,24.0,0.0,24.0
76,Duinzigt,1.7,1743,337.0,84.0,16.0,60.0,34.0,2.0,32.0
77,Waalsdorp,2.3,1737,488.0,87.0,13.0,75.0,23.0,0.0,23.0
78,Arendsdorp,2.2,883,529.0,63.0,37.0,40.0,39.0,5.0,34.0
79,Van Hoytemastraat en omgeving,2.2,1046,397.0,88.0,12.0,71.0,29.0,0.0,29.0
80,Morgenstond-Zuid,1.9,3167,92.0,90.0,10.0,16.0,84.0,71.0,13.0
81,Bosjes van Pex,2.0,213,259.0,92.0,8.0,85.0,14.0,0.0,14.0
82,Rosenburg,1.7,1577,176.0,96.0,4.0,33.0,67.0,43.0,24.0
83,Eykenduinen,2.0,1336,187.0,95.0,5.0,75.0,25.0,4.0,21.0
84,Leyenburg,1.9,7584,133.0,96.0,4.0,59.0,40.0,12.0,28.0
85,Kerketuinen en Zichtenburg,1.4,57,0.0,37.0,63.0,0.0,0.0,0.0,0.0
86,Houtwijk,2.2,5649,192.0,94.0,6.0,54.0,43.0,37.0,6.0
87,"Venen, Oorden en Raden",2.1,3687,116.0,97.0,3.0,24.0,76.0,54.0,22.0
88,Morgenstond-West,2.1,3350,144.0,96.0,4.0,41.0,59.0,40.0,18.0
89,Morgenstond-Oost,1.7,3288,101.0,93.0,7.0,15.0,79.0,72.0,7.0
90,Ockenburgh,2.5,349,622.0,62.0,38.0,51.0,11.0,0.0,11.0
91,Kijkduin,2.0,818,430.0,92.0,8.0,53.0,47.0,13.0,34.0
92,Bohemen en Meer en Bos,1.7,2874,200.0,89.0,11.0,59.0,36.0,16.0,20.0
93,Componistenbuurt,1.8,1069,204.0,94.0,6.0,86.0,14.0,0.0,14.0
94,Waldeck-Noord,1.5,2219,153.0,93.0,7.0,51.0,45.0,21.0,23.0
95,Kom Loosduinen,1.7,2958,149.0,93.0,7.0,34.0,60.0,43.0,17.0
96,"Zijden, Steden en Zichten",2.1,3519,112.0,97.0,3.0,27.0,73.0,63.0,10.0
98,Dreven en Gaarden,2.1,4604,127.0,97.0,3.0,24.0,76.0,68.0,8.0
99,De Uithof,1.7,704,213.0,97.0,3.0,26.0,74.0,73.0,1.0
100,Duindorp,2.1,2837,162.0,96.0,4.0,42.0,58.0,52.0,6.0
101,Erasmus Veld,2.4,722,275.0,94.0,6.0,36.0,64.0,46.0,18.0
102,Hoge Veld,2.8,2946,263.0,96.0,4.0,54.0,46.0,32.0,14.0
104,Lage Veld,2.6,1630,228.0,98.0,2.0,55.0,45.0,42.0,3.0
105,Zonne Veld,2.9,1095,250.0,98.0,2.0,64.0,36.0,25.0,10.0
106,Vlietzoom-West,2.0,65,442.0,92.0,8.0,85.0,14.0,0.0,14.0
107,Vliegeniersbuurt,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Bosweide,3.1,667,557.0,95.0,5.0,93.0,7.0,0.0,7.0
110,De Reef,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,De Venen,2.3,730,214.0,96.0,4.0,30.0,70.0,57.0,14.0
112,Morgenweide,2.6,2730,241.0,96.0,4.0,46.0,54.0,21.0,32.0
113,Singels,2.7,1992,244.0,97.0,3.0,60.0,40.0,25.0,15.0
114,Waterbuurt,2.6,1683,243.0,97.0,3.0,51.0,49.0,24.0,24.0
115,De Bras,3.1,1875,345.0,98.0,2.0,63.0,37.0,28.0,9.0
116,Vlietzoom-Oost,2.0,31,0.0,97.0,3.0,84.0,16.0,0.0,16.0
117,De Rivieren,3.1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,De Lanen,3.0,1666,301.0,98.0,2.0,71.0,29.0,27.0,1.0
119,De Velden,2.8,1522,280.0,97.0,3.0,64.0,36.0,19.0,16.0
120,De Vissen,2.7,3119,278.0,97.0,3.0,65.0,32.0,30.0,2.0
121,Rietbuurt,3.0,884,316.0,98.0,2.0,63.0,37.0,35.0,1.0
