"Buurten";"% Nederlands|2019";"% Turks|2019";"% Marokkaans|2019";"% Surinaams|2019";"% Antilliaans|2019";"% Overig niet-westers|2019";"% Westers|2019"
"01 Oud Scheveningen";76,8;0,8;0,5;1,5;0,9;5,3;14,2
"02 Vissershaven";71,5;0,7;1,0;2,2;1,0;6,1;17,7
"03 Scheveningen Badplaats";65,9;0,5;0,4;1,5;0,9;8,8;21,9
"04 Visserijbuurt";64,8;0,4;1,4;2,0;1,0;8,3;22,0
"05 v Stolkpark/Schev Bosjes";56,4;"x";0,8;0,8;1,2;8,4;32,0
"06 Waldeck-Zuid";63,6;2,9;2,4;3,8;2,1;10,9;14,1
"07 Statenkwartier";53,2;0,4;0,3;1,6;0,9;8,2;35,4
"08 Geuzenkwartier";71,0;0,6;1,1;1,6;1,1;6,8;17,6
"09 Vogelwijk";72,4;0,3;"x";1,1;0,5;3,6;22,1
"10 Rond de Energiecentrale";39,8;5,1;5,1;14,1;3,4;11,3;21,2
"11 Kortenbos";45,3;3,8;6,4;5,5;2,8;14,4;21,7
"12 Voorhout";48,0;1,5;1,4;1,9;1,5;12,7;33,1
"13 Uilebomen";36,2;2,4;7,1;8,4;3,7;21,6;20,5
"14 Zuidwal";41,3;2,6;4,7;7,3;4,5;18,4;21,1
"15 Schildersbuurt-West";7,5;28,6;18,6;17,1;2,3;15,3;10,5
"16 Schildersbuurt-Noord";11,4;26,2;23,7;14,6;2,7;15,2;6,1
"17 Schildersbuurt-Oost";6,6;24,1;27,5;15,5;3,4;16,7;6,3
"18 Huygenspark";24,4;6,3;8,9;8,8;11,4;21,5;18,7
"19 Laakhaven-Oost";18,4;7,2;12,6;14,5;6,7;25,0;15,7
"20 Moerwijk-Oost";23,8;13,3;12,3;12,1;5,6;19,0;13,8
"21 Groente- en Fruitmarkt";10,7;38,5;8,0;15,5;1,4;11,3;14,6
"22 Laakhaven-West";18,7;16,9;14,3;14,3;6,0;18,1;11,6
"23 Spoorwijk";21,3;14,1;12,6;23,1;4,1;12,8;11,9
"24 Laakkwartier-West";28,4;5,0;4,1;15,1;3,7;14,2;29,6
"25 Laakkwartier-Oost";29,3;3,6;2,7;11,7;3,7;15,8;33,3
"26 Noordpolderbuurt";15,6;8,8;15,8;14,6;6,3;17,3;21,7
"30 Rustenburg";46,2;5,7;3,3;9,7;1,9;8,1;25,1
"31 Oostbroek-Noord";30,5;11,9;3,0;13,6;2,5;11,8;26,7
"32 Transvaalkwartier-Noord";8,8;24,3;15,5;18,9;3,2;16,7;12,7
"33 Transvaalkwartier-Midden";7,3;29,6;15,5;20,7;1,5;9,8;15,6
"34 Transvaalkwartier-Zuid";6,5;26,6;11,3;18,8;1,4;12,4;22,9
"35 Oostbroek-Zuid";25,3;16,5;2,4;11,1;2,2;10,5;32,0
"36 Zuiderpark";77,1;"x";"x";"x";"x";"x";10,5
"37 Moerwijk-West";24,2;11,8;14,3;9,5;5,8;23,6;10,8
"38 Moerwijk-Noord";25,2;14,3;8,3;10,5;4,4;17,0;20,2
"39 Moerwijk-Zuid";25,0;11,6;16,0;13,0;5,9;19,5;8,9
"40 Nieuw Waldeck";61,7;3,8;4,3;6,6;2,5;7,5;13,6
"41 Zorgvliet";55,7;"x";"x";"x";0,9;10,1;32,5
"42 Stadhoudersplantsoen";50,8;0,5;0,3;1,8;0,9;9,5;36,1
"43 Sweelinckplein eo";58,9;0,4;0,3;2,5;1,1;7,7;29,0
"44 Koningsplein eo";54,6;2,1;2,1;7,1;1,8;8,5;23,7
"45 Zeeheldenkwartier";50,9;2,3;3,5;5,2;2,7;11,9;23,4
"46 Archipelbuurt";57,5;0,5;0,6;1,6;1,1;9,0;29,8
"47 Willemspark";48,0;0,9;0,6;0,8;0,5;11,4;37,8
"48 Nassaubuurt";56,9;0,4;0,4;1,2;0,4;9,4;31,2
"49 Haagse Bos";53,8;"x";"x";"x";"x";13,6;30,5
"50 Bloemenbuurt-West";76,8;0,4;"x";1,5;0,6;3,4;17,3
"51 Bloemenbuurt-Oost";68,3;0,8;0,4;2,9;1,0;5,6;21,0
"52 Bomenbuurt";64,8;0,7;0,7;3,0;1,0;6,3;23,5
"53 Vruchtenbuurt";74,5;0,8;0,2;2,3;0,9;4,7;16,6
"54 Heesterbuurt";55,5;1,8;2,1;7,6;2,4;9,5;21,2
"55 Valkenboskwartier";46,0;3,0;2,7;13,2;1,9;9,7;23,4
"60 Binckhorst";28,6;5,8;13,6;10,9;9,9;21,0;10,2
"61 Landen";44,0;2,6;5,8;6,8;3,5;19,7;17,6
"62 Rivierenbuurt-Zuid";29,2;1,4;2,2;8,8;9,1;22,8;26,4
"63 Rivierenbuurt-Noord";36,2;3,0;5,5;7,8;5,7;19,5;22,4
"64 Bezuidenhout-West";29,1;3,0;6,4;9,5;4,0;25,6;22,4
"65 Bezuidenhout-Midden";49,2;1,0;0,4;2,1;1,2;17,4;28,7
"66 Bezuidenhout-Oost";59,3;0,9;0,4;2,4;1,1;11,2;24,6
"67 Kampen";44,7;2,2;3,8;5,3;4,4;18,4;21,1
"68 Marlot";60,3;"x";"x";"x";"x";11,9;26,8
"69 Burgen en Horsten";49,0;2,2;2,9;5,6;2,6;17,7;20,0
"70 Oostduinen";"";"";"";"";"";"";""
"71 Belgisch Park";62,6;0,7;0,8;2,0;1,0;9,0;23,9
"72 Rijslag";68,8;1,1;0,3;1,8;1,4;7,1;19,5
"73 Westbroekpark";63,4;"x";"x";1,3;0,8;7,1;27,0
"74 Duttendel";65,1;"x";"x";0,7;1,1;6,4;26,6
"75 Uilennest";56,9;1,1;0,7;1,2;0,7;10,9;28,5
"76 Duinzigt";63,0;0,3;0,2;0,8;0,7;7,7;27,4
"77 Waalsdorp";63,6;0,3;"x";0,7;0,8;8,4;26,1
"78 Arendsdorp";55,2;0,5;"x";0,6;0,7;11,8;31,3
"79 v Hoytemastraat eo";60,0;0,2;"x";0,7;0,8;10,1;28,1
"80 Morgenstond-Zuid";24,9;14,8;10,7;11,0;3,7;16,4;18,6
"81 Bosjes van Pex";73,3;"x";"x";1,9;"x";6,7;17,0
"82 Rosenburg";70,4;0,7;1,4;4,4;1,9;6,1;15,1
"83 Eykenduynen";74,3;0,5;0,3;2,2;0,9;4,3;17,5
"84 Leyenburg";62,1;3,5;1,7;6,4;1,9;6,9;17,4
"85 Kerketuinen/Zichtenburg";50,8;"x";"x";11,9;"x";15,3;10,2
"86 Houtwijk";64,4;4,1;4,2;6,8;1,5;6,7;12,4
"87 Venen/Oorden/Raden";24,3;19,8;14,6;10,4;3,4;14,7;12,8
"88 Morgenstond-West";32,8;19,0;9,1;16,3;2,2;10,0;10,7
"89 Morgenstond-Oost";34,5;11,3;8,5;10,7;4,8;17,6;12,7
"90 Ockenburgh";65,7;0,6;1,5;4,2;1,3;8,9;17,8
"91 Kijkduin";75,5;0,6;"x";1,0;0,4;4,1;18,0
"92 Bohemen/Meer en Bos";73,2;0,4;0,2;1,7;0,7;4,3;19,6
"93 Componistenbuurt";71,8;0,3;"x";1,5;0,9;4,9;20,7
"94 Waldeck-Noord";73,8;0,2;0,3;2,1;0,7;6,6;16,3
"95 Kom Loosduinen";74,2;1,2;1,6;3,8;1,2;5,7;12,3
"96 Zijden/Steden/Zichten";26,0;22,2;13,2;8,7;3,2;13,4;13,2
"97 Kraayenstein & Vroondaal";70,0;1,7;0,9;4,3;1,2;6,5;15,4
"98 Dreven en Gaarden";26,9;16,8;14,1;12,0;4,5;13,0;12,7
"99 De Uithof";74,2;2,1;1,3;2,7;"x";4,5;14,9
"100 Duindorp";82,1;0,5;0,6;1,1;0,7;3,9;11,1
"101 Erasmus Veld";55,2;7,0;5,3;10,5;1,7;7,3;13,1
"102 Hoge Veld";51,5;10,3;7,4;12,5;1,4;7,4;9,6
"103 Parkbuurt Oosteinde";64,0;3,1;1,4;8,5;1,1;8,2;13,8
"104 Lage Veld";51,8;7,7;8,7;11,3;2,4;8,9;9,3
"105 Zonne Veld";51,3;9,2;4,9;13,7;2,0;10,2;8,7
"106 Vlietzoom-West";86,9;"x";"x";"x";"x";4,8;5,4
"107 Vliegeniersbuurt";"";"";"";"";"";"";""
"108 Bosweide";65,4;0,5;"x";3,5;0,6;9,1;20,8
"109 Tedingerbroek";"";"";"";"";"";"";""
"110 De Reef";"x";"x";"x";"x";"x";96,0;"x"
"111 De Venen";45,5;7,1;4,9;15,6;2,9;12,2;11,7
"112 Morgenweide";53,2;5,2;4,0;10,5;2,3;12,3;12,5
"113 Singels";55,9;3,6;2,1;13,0;1,7;11,3;12,4
"114 Waterbuurt";53,4;5,3;4,0;11,9;2,6;10,6;12,3
"115 De Bras";69,9;3,0;2,4;6,4;1,0;5,5;11,8
"116 Vlietzoom-Oost";83,5;"x";"x";"x";"x";"x";12,4
"117 De Rivieren";100,0;"x";"x";"x";"x";"x";"x"
"118 De Lanen";55,1;4,3;3,5;12,2;2,7;12,2;10,0
"119 De Velden";59,3;3,4;3,3;10,9;1,2;11,6;10,3
"120 De Vissen";62,1;2,1;4,0;11,1;1,3;9,1;10,3
"121 Rietbuurt";54,4;3,9;6,7;11,6;2,4;10,8;10,2
